image_path,signed_speedA,signed_speedB,behaviorA,behaviorB,behavior,time_in_ms,record,source
DataSet/Record_2025-08-08_19-36-02/Images/1754674832866.png,50.0,50.0,FORWARD,FORWARD,FORWARD,1754674832866,Record_2025-08-08_19-36-02_seq1,real
DataSet/Record_2025-08-08_19-36-02/Images/1754674834237.png,25.2,25.2,FORWARD,FORWARD,FORWARD,1754674834237,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674834281.png,0.0,0.0,STOP,STOP,STOP,1754674834281,Record_2025-08-08_19-36-02_seq2,real
DataSet/Record_2025-08-08_19-36-02/Images/1754674834406.png,1.3,1.3,FORWARD,FORWARD,FORWARD,1754674834406,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674834420.png,2.4,2.4,FORWARD,FORWARD,FORWARD,1754674834420,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674834433.png,3.5,3.5,FORWARD,FORWARD,FORWARD,1754674834433,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674834447.png,4.7,4.7,FORWARD,FORWARD,FORWARD,1754674834447,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674834498.png,8.9,8.9,FORWARD,FORWARD,FORWARD,1754674834498,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674834540.png,12.5,12.5,FORWARD,FORWARD,FORWARD,1754674834540,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674834589.png,16.6,16.6,FORWARD,FORWARD,FORWARD,1754674834589,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674834634.png,20.3,20.3,FORWARD,FORWARD,FORWARD,1754674834634,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674834679.png,24.1,24.1,FORWARD,FORWARD,FORWARD,1754674834679,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674834734.png,28.7,28.7,FORWARD,FORWARD,FORWARD,1754674834734,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674834793.png,33.6,33.6,FORWARD,FORWARD,FORWARD,1754674834793,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674834877.png,50.0,50.0,FORWARD,FORWARD,FORWARD,1754674834877,Record_2025-08-08_19-36-02_seq2,real
DataSet/Record_2025-08-08_19-36-02/Images/1754674835170.png,32.0,32.0,FORWARD,FORWARD,FORWARD,1754674835170,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674835219.png,27.1,27.1,FORWARD,FORWARD,FORWARD,1754674835219,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674835266.png,22.5,22.5,FORWARD,FORWARD,FORWARD,1754674835266,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674835315.png,17.6,17.6,FORWARD,FORWARD,FORWARD,1754674835315,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674835357.png,13.4,13.4,FORWARD,FORWARD,FORWARD,1754674835357,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674835411.png,0.0,0.0,STOP,STOP,STOP,1754674835411,Record_2025-08-08_19-36-02_seq2,real
DataSet/Record_2025-08-08_19-36-02/Images/1754674835506.png,1.1,1.1,FORWARD,FORWARD,FORWARD,1754674835506,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674835520.png,2.2,2.2,FORWARD,FORWARD,FORWARD,1754674835520,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674835542.png,3.9,3.9,FORWARD,FORWARD,FORWARD,1754674835542,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674835592.png,7.9,7.9,FORWARD,FORWARD,FORWARD,1754674835592,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674835621.png,10.2,10.2,FORWARD,FORWARD,FORWARD,1754674835621,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674835679.png,14.7,14.7,FORWARD,FORWARD,FORWARD,1754674835679,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674835720.png,18.0,18.0,FORWARD,FORWARD,FORWARD,1754674835720,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674835775.png,22.3,22.3,FORWARD,FORWARD,FORWARD,1754674835775,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674835811.png,25.1,25.1,FORWARD,FORWARD,FORWARD,1754674835811,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674835863.png,29.2,29.2,FORWARD,FORWARD,FORWARD,1754674835863,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674835914.png,33.2,33.2,FORWARD,FORWARD,FORWARD,1754674835914,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674836007.png,50.0,50.0,FORWARD,FORWARD,FORWARD,1754674836007,Record_2025-08-08_19-36-02_seq2,real
DataSet/Record_2025-08-08_19-36-02/Images/1754674836160.png,0.0,50.0,STOP,FORWARD,LEFT,1754674836160,Record_2025-08-08_19-36-02_seq2,real
DataSet/Record_2025-08-08_19-36-02/Images/1754674836365.png,1.2,50.0,FORWARD,FORWARD,FORWARD,1754674836365,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674836380.png,1.6,50.0,FORWARD,FORWARD,FORWARD,1754674836380,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674836399.png,2.1,50.0,FORWARD,FORWARD,FORWARD,1754674836399,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674836446.png,3.2,50.0,FORWARD,FORWARD,FORWARD,1754674836446,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674836499.png,4.5,50.0,FORWARD,FORWARD,FORWARD,1754674836499,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674836539.png,5.5,50.0,FORWARD,FORWARD,FORWARD,1754674836539,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674836583.png,6.6,50.0,FORWARD,FORWARD,FORWARD,1754674836583,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674836636.png,7.9,50.0,FORWARD,FORWARD,FORWARD,1754674836636,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674836676.png,8.9,50.0,FORWARD,FORWARD,FORWARD,1754674836676,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674836715.png,9.8,50.0,FORWARD,FORWARD,FORWARD,1754674836715,Record_2025-08-08_19-36-02_seq2,interp
DataSet/Record_2025-08-08_19-36-02/Images/1754674836764.png,11.0,50.0,FORWARD,FORWARD,FORWARD,1754674836764,Record_2025-08-08_19-36-02_seq2,interp
