epoch,lr-AdamW,step,train_loss,train_loss_dir,train_loss_spd,val_dir_f1_macro,val_f1_A,val_f1_B,val_loss,val_mae_A,val_mae_B
,0.001,0,,,,,,,,,
0,,377,,,,0.3918209373950958,0.3280941843986511,0.4555477201938629,3.0107262134552,24.09105110168457,21.70410919189453
0,,377,2.1353819370269775,1.7368228435516357,0.3985596299171448,,,,,,
,0.001,378,,,,,,,,,
1,,755,,,,0.4895094335079193,0.4280957877635956,0.5509231090545654,2.7031033039093018,20.11196517944336,20.657014846801758
1,,755,1.9161195755004883,1.5398263931274414,0.3762930631637573,,,,,,
,0.001,756,,,,,,,,,
2,,1133,,,,0.44762125611305237,0.3843201696872711,0.510922372341156,2.8972456455230713,17.56597137451172,20.022674560546875
2,,1133,1.7946829795837402,1.4250558614730835,0.36962705850601196,,,,,,
,0.001,1134,,,,,,,,,
3,,1511,,,,0.5097249746322632,0.5150073170661926,0.5044426321983337,2.7461907863616943,16.779855728149414,19.63865089416504
3,,1511,1.7626028060913086,1.3973667621612549,0.36523696780204773,,,,,,
,0.001,1512,,,,,,,,,
4,,1889,,,,0.4200267195701599,0.3522742986679077,0.4877791106700897,2.882657051086426,20.068395614624023,19.048599243164062
4,,1889,1.6688200235366821,1.311416506767273,0.3574042320251465,,,,,,
,0.001,1890,,,,,,,,,
5,,2267,,,,0.5298209190368652,0.4796523153781891,0.579989492893219,2.887972593307495,16.696033477783203,18.293867111206055
5,,2267,1.5847889184951782,1.2320613861083984,0.35272812843322754,,,,,,
,0.001,2268,,,,,,,,,
6,,2645,,,,0.5051551461219788,0.43934714794158936,0.5709631443023682,3.783168077468872,16.50967025756836,18.537067413330078
6,,2645,1.5389890670776367,1.189865231513977,0.34912237524986267,,,,,,
,0.001,2646,,,,,,,,,
7,,3023,,,,0.5142942070960999,0.5067799687385559,0.521808385848999,3.3243331909179688,16.224700927734375,18.683284759521484
7,,3023,1.4782191514968872,1.1344839334487915,0.34373465180397034,,,,,,
,0.001,3024,,,,,,,,,
8,,3401,,,,0.47121602296829224,0.4682842493057251,0.4741477966308594,2.9783272743225098,17.557397842407227,18.826929092407227
8,,3401,1.4358007907867432,1.094833254814148,0.34096837043762207,,,,,,
,0.001,3402,,,,,,,,,
9,,3779,,,,0.5088355541229248,0.48162028193473816,0.5360507965087891,4.018937587738037,17.64019203186035,18.296804428100586
9,,3779,1.3819482326507568,1.043674111366272,0.33827534317970276,,,,,,
,0.001,3780,,,,,,,,,
10,,4157,,,,0.5343989729881287,0.5187459588050842,0.5500519871711731,3.56624436378479,17.260448455810547,18.66592025756836
10,,4157,1.331045389175415,0.9971820116043091,0.3338642418384552,,,,,,
,0.001,4158,,,,,,,,,
11,,4535,,,,0.5064169764518738,0.500492513179779,0.5123414397239685,3.9535248279571533,15.285054206848145,18.66846466064453
11,,4535,1.2762361764907837,0.9440534710884094,0.3321826159954071,,,,,,
,0.0001,4536,,,,,,,,,
12,,4913,,,,0.5160061120986938,0.49471041560173035,0.5373018383979797,4.217283248901367,18.420503616333008,19.382469177246094
12,,4913,1.2035340070724487,0.8805187940597534,0.32301604747772217,,,,,,
,0.0001,4914,,,,,,,,,
13,,5291,,,,0.5177695155143738,0.5005975961685181,0.5349414944648743,4.321578025817871,18.00182342529297,19.42475700378418
13,,5291,1.1583772897720337,0.8387377262115479,0.31964027881622314,,,,,,
,0.0001,5292,,,,,,,,,
14,,5669,,,,0.5150071978569031,0.4892786741256714,0.5407357215881348,4.360738754272461,18.103261947631836,19.35118293762207
14,,5669,1.1336392164230347,0.8163148164749146,0.31732434034347534,,,,,,
,0.0001,5670,,,,,,,,,
15,,6047,,,,0.5035256743431091,0.4736502468585968,0.5334010720252991,4.529601097106934,19.263826370239258,19.89080810546875
15,,6047,1.1179139614105225,0.8003139495849609,0.31760019063949585,,,,,,
,0.0001,6048,,,,,,,,,
16,,6425,,,,0.5165899991989136,0.4991395175457001,0.5340405106544495,4.625575542449951,18.338659286499023,19.595457077026367
16,,6425,1.1062166690826416,0.7896202206611633,0.3165968358516693,,,,,,
,0.0001,6426,,,,,,,,,
17,,6803,,,,0.5068230032920837,0.4758710563182831,0.537774920463562,4.8041768074035645,18.48058319091797,19.662551879882812
17,,6803,1.0976248979568481,0.7845914363861084,0.3130335807800293,,,,,,
,0.0001,6804,,,,,,,,,
18,,7181,,,,0.5091759562492371,0.4861249029636383,0.5322270393371582,4.6705322265625,18.49798011779785,19.806245803833008
18,,7181,1.0921778678894043,0.7787744402885437,0.31340283155441284,,,,,,
,0.0001,7182,,,,,,,,,
19,,7559,,,,0.5080958604812622,0.47909271717071533,0.5370989441871643,4.929238319396973,18.757171630859375,20.290071487426758
19,,7559,1.0770572423934937,0.766196072101593,0.31086093187332153,,,,,,
,0.0001,7560,,,,,,,,,
20,,7937,,,,0.49999192357063293,0.46731996536254883,0.532663881778717,4.936349868774414,18.41010856628418,20.08797836303711
20,,7937,1.0650056600570679,0.7541261911392212,0.3108794391155243,,,,,,
,0.0001,7938,,,,,,,,,
21,,8315,,,,0.5014280080795288,0.47479256987571716,0.5280634164810181,5.018076419830322,18.91629409790039,20.319171905517578
21,,8315,1.0647523403167725,0.7538673877716064,0.310884952545166,,,,,,
,0.0001,8316,,,,,,,,,
22,,8693,,,,0.5098659992218018,0.490186870098114,0.5295451283454895,4.78618860244751,18.028766632080078,20.237146377563477
22,,8693,1.0641981363296509,0.7549697756767273,0.30922800302505493,,,,,,
,0.0001,8694,,,,,,,,,
23,,9071,,,,0.5049809217453003,0.4940139353275299,0.5159479379653931,4.962089538574219,18.526485443115234,20.03243637084961
23,,9071,1.052095651626587,0.7416437268257141,0.3104514479637146,,,,,,
,1e-05,9072,,,,,,,,,
24,,9449,,,,0.5033069849014282,0.48681071400642395,0.5198032855987549,5.036472797393799,18.46427345275879,20.057241439819336
24,,9449,1.0318043231964111,0.7250184416770935,0.3067852556705475,,,,,,
