tag,seed,rc,secs,neck_hidden,dropout,lr,weight_decay,val_dir_f1_macro,val_fullstop_recall,val_mae_A,val_mae_B,pareto
00_nh256_d0.3_l0.0005_wd0.0001,42,0,980,[256],0.3,0.0005,0.0001,0.6093364357948303,0.3503184616565704,19.48440170288086,21.386199951171875,False
01_nh256_d0.3_l0.0005_wd0.001,42,0,967,[256],0.3,0.0005,0.001,0.6091660261154175,0.3503184616565704,19.54244613647461,21.375743865966797,False
02_nh256_d0.3_l0.001_wd0.0001,42,0,974,[256],0.3,0.001,0.0001,0.5925173163414001,0.2993630468845367,21.839998245239254,21.042083740234375,False
03_nh256_d0.3_l0.001_wd0.001,42,0,970,[256],0.3,0.001,0.001,0.6003055572509766,0.3057324886322021,21.615488052368164,20.91935920715332,False
04_nh256_d0.4_l0.0005_wd0.0001,42,0,979,[256],0.4,0.0005,0.0001,0.6072324514389038,0.4140127301216125,19.97422218322754,21.56785774230957,False
05_nh256_d0.4_l0.0005_wd0.001,42,0,981,[256],0.4,0.0005,0.001,0.6061951518058777,0.4140127301216125,19.891334533691406,21.58265495300293,False
06_nh256_d0.4_l0.001_wd0.0001,42,0,984,[256],0.4,0.001,0.0001,0.6219743490219116,0.4458598792552948,19.23710250854492,21.099061965942383,False
07_nh256_d0.4_l0.001_wd0.001,42,0,979,[256],0.4,0.001,0.001,0.6195181012153625,0.4203821718692779,19.3673038482666,21.131797790527344,False
08_nh256_d0.5_l0.0005_wd0.0001,42,0,964,[256],0.5,0.0005,0.0001,0.6156003475189209,0.3885350227355957,19.56850814819336,21.669742584228516,False
09_nh256_d0.5_l0.0005_wd0.001,42,0,986,[256],0.5,0.0005,0.001,0.6141738295555115,0.3885350227355957,19.779296875,21.664522171020508,False
10_nh256_d0.5_l0.001_wd0.0001,42,0,986,[256],0.5,0.001,0.0001,0.6222614645957947,0.3694267570972442,20.584529876708984,20.896947860717773,False
11_nh256_d0.5_l0.001_wd0.001,42,0,962,[256],0.5,0.001,0.001,0.6188479661941528,0.4076433181762695,18.59823989868164,21.451446533203125,False
12_nh512-256_d0.3_l0.0005_wd0.0001,42,0,970,"[512, 256]",0.3,0.0005,0.0001,0.6074891686439514,0.4458598792552948,20.13651657104492,21.393802642822266,False
13_nh512-256_d0.3_l0.0005_wd0.001,42,0,950,"[512, 256]",0.3,0.0005,0.001,0.6064611077308655,0.4140127301216125,19.70442771911621,21.18769073486328,False
14_nh512-256_d0.3_l0.001_wd0.0001,42,0,948,"[512, 256]",0.3,0.001,0.0001,0.6027103662490845,0.5031847357749939,18.557401657104492,21.261638641357425,False
15_nh512-256_d0.3_l0.001_wd0.001,42,0,954,"[512, 256]",0.3,0.001,0.001,0.6089769005775452,0.4968152940273285,18.6983642578125,21.33576011657715,False
16_nh512-256_d0.4_l0.0005_wd0.0001,42,0,969,"[512, 256]",0.4,0.0005,0.0001,0.6054401993751526,0.3885350227355957,20.533428192138672,21.037919998168945,False
17_nh512-256_d0.4_l0.0005_wd0.001,42,0,954,"[512, 256]",0.4,0.0005,0.001,0.606024444103241,0.3885350227355957,20.338321685791016,21.114835739135746,False
18_nh512-256_d0.4_l0.001_wd0.0001,42,0,978,"[512, 256]",0.4,0.001,0.0001,0.6255425810813904,0.6242038011550903,19.085538864135746,21.507457733154297,True
19_nh512-256_d0.4_l0.001_wd0.001,42,0,974,"[512, 256]",0.4,0.001,0.001,0.6260449290275574,0.6050955653190613,19.217609405517575,21.497596740722656,True
20_nh512-256_d0.5_l0.0005_wd0.0001,42,0,972,"[512, 256]",0.5,0.0005,0.0001,0.6049498915672302,0.3694267570972442,19.729753494262695,21.321304321289062,False
21_nh512-256_d0.5_l0.0005_wd0.001,42,0,957,"[512, 256]",0.5,0.0005,0.001,0.6004046201705933,0.3630573153495788,19.97833251953125,21.350170135498047,False
22_nh512-256_d0.5_l0.001_wd0.0001,42,0,980,"[512, 256]",0.5,0.001,0.0001,0.6033423542976379,0.5987260937690735,18.372127532958984,21.8145694732666,False
23_nh512-256_d0.5_l0.001_wd0.001,42,0,978,"[512, 256]",0.5,0.001,0.001,0.6047449111938477,0.4267515838146209,19.815040588378903,21.262725830078125,False
